trip_distance,duration_seconds,MPH
11.83,1036,41.10810784299401
18.19,1593,41.10734583967823
9.66,846,41.106382329413236
27.29,2390,41.10627752966462
18.84,1650,41.10545487837358
18.78,1645,41.09908964858592
19.83,1737,41.09844543773276
18.5,1621,41.08574953732264
17.48,1532,41.07571693998093
18.21,1596,41.07518590482554
8.93,783,41.057472667474855
18.04,1582,41.051835206004064
16.5,1447,41.05044920525225
21.8,1912,41.04602366810563
16.22,1423,41.034432556624154
13.54,1188,41.03030291470614
10.93,959,41.03024097876206
11.93,1047,41.02005835590526
26.15,2295,41.019607244753374
16.76,1471,41.01699580147832
18.01,1581,41.00948818720722
8.27,726,41.00826673271242
17.3,1519,41.00065651969583
4.1,360,40.999999046325684
14.68,1289,40.99922505712398
10.93,960,40.98750114440918
16.85,1480,40.98648741438582
29.76,2614,40.98546320733535
16.94,1488,40.98387225981681
18.43,1619,40.9808530565984
21.65,1902,40.977917259047835
55.16,4846,40.97730075333958
21.2,1863,40.96618504915837
17.91,1574,40.96315085812172
16.6,1459,40.95956228464086
12.39,1089,40.95867882090167
19.01,1671,40.95511718969157
18.35,1613,40.95474356682642
18.03,1585,40.951421117933016
18.7,1644,40.94890678015938
18.3,1609,40.94468443344809
19.8,1741,40.941985785995385
21.27,1871,40.925709058230474
23.3,2050,40.9170718309356
9.16,806,40.91315068323026
11.83,1041,40.91066256036676
21.44,1887,40.90302168659641
17.27,1520,40.902632663124486
14.78,1301,40.89777020653059
25.5,2245,40.89086859688196
23.79,2095,40.8801925040088
8.89,783,40.87356479688623
18.21,1604,40.87032213472666
18.07,1592,40.861808355130144
12.61,1111,40.86048493612789
17.57,1548,40.86046440656795
15.47,1363,40.85986864365643
